ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
152,F,Flight,5,3,98,5,medium,M,44,1269,1
153,A,Flight,3,4,97,4,low,M,32,1238,1
154,B,Flight,3,3,183,2,low,M,53,3932,1
155,C,Ship,3,3,162,3,medium,F,8,1869,1
156,F,Ship,5,1,114,4,low,F,47,1443,1
157,D,Ship,6,3,275,5,low,M,41,2491,1
158,F,Ship,3,2,203,2,medium,F,39,3845,1
159,A,Ship,5,5,205,2,high,M,65,3671,1
160,B,Ship,3,3,149,3,low,F,63,1946,1
161,C,Ship,2,2,112,4,medium,M,56,1138,1
162,F,Ship,3,1,207,3,medium,F,56,3482,1
163,D,Ship,4,1,261,4,low,F,58,3427,1
164,F,Ship,5,2,274,3,medium,M,6,3375,1
165,A,Ship,3,5,141,2,low,M,52,1692,1
166,B,Ship,3,3,166,4,medium,F,17,1498,1
167,C,Ship,5,2,141,3,high,F,34,1020,1
168,F,Ship,4,5,152,3,low,M,43,1709,1
169,D,Ship,4,2,250,3,low,F,53,2478,1
170,F,Ship,4,3,161,3,medium,F,28,1809,1
171,A,Ship,4,3,185,3,medium,F,10,2263,1
172,B,Ship,4,4,176,4,high,F,52,1096,1
173,C,Ship,3,4,148,3,low,M,56,1550,1
174,F,Ship,3,2,270,3,low,F,63,2751,1
175,D,Ship,3,3,242,3,low,F,51,3935,1
176,F,Ship,4,4,150,2,medium,M,3,1285,1
177,A,Ship,4,5,192,3,high,M,20,3872,1
178,B,Ship,4,5,116,3,medium,M,54,1314,1
179,C,Ship,3,3,192,3,medium,F,2,3995,1
180,F,Ship,5,5,255,4,medium,M,3,3440,1
181,D,Ship,4,1,161,7,medium,F,18,1294,1
182,F,Ship,4,5,157,3,low,M,20,1487,1
183,A,Ship,3,2,164,10,high,F,28,1940,1
184,B,Ship,3,5,162,7,medium,F,16,1052,1
185,C,Ship,3,3,146,2,low,M,50,1486,1
186,F,Ship,3,2,209,3,medium,M,54,3001,1
187,D,Ship,5,4,134,2,medium,F,55,1386,1
188,F,Ship,2,1,222,2,medium,M,5,3778,1
189,A,Ship,2,5,139,3,low,F,27,1233,1
190,B,Ship,2,4,134,3,low,F,42,1415,1
191,C,Ship,2,5,130,3,low,M,16,1092,1
192,F,Ship,2,5,133,3,low,F,62,1596,1
193,D,Ship,2,4,140,3,low,F,7,1411,1
194,F,Ship,2,2,158,3,low,M,28,1968,1
195,A,Ship,4,2,270,4,low,F,46,1736,1
196,B,Ship,2,5,140,3,low,F,30,1030,1
197,C,Ship,2,2,135,3,low,M,15,1339,1
198,F,Ship,2,3,136,3,low,F,19,1568,1
199,D,Ship,2,3,142,3,medium,F,38,7640,1
200,F,Ship,2,2,154,3,medium,M,38,7846,1
201,A,Ship,2,3,139,3,low,M,9,1471,1
202,B,Ship,2,3,160,3,low,F,43,1251,1
203,C,Ship,2,4,134,3,low,M,58,1067,1
204,F,Ship,5,3,161,5,high,M,48,1883,1
205,D,Ship,2,5,155,3,low,M,23,1602,1
206,F,Ship,2,3,145,3,medium,F,24,7588,1
207,A,Ship,2,2,157,3,low,M,1,1477,1
208,B,Ship,2,2,160,3,low,M,48,1691,1
209,C,Ship,2,4,152,3,low,M,55,1498,1
210,F,Ship,2,5,148,3,high,F,11,1502,1
211,D,Ship,2,1,127,3,low,F,15,1522,1
212,F,Ship,2,5,154,3,low,F,21,1113,1
213,A,Ship,2,5,127,3,low,M,44,1341,1
214,B,Ship,2,5,160,3,medium,F,31,7401,1
215,C,Ship,2,4,129,3,low,F,48,1219,1
216,F,Ship,2,5,158,3,low,F,40,1722,1
217,D,Ship,4,3,185,3,medium,M,3,3131,1
218,F,Ship,4,4,176,4,high,F,63,1293,1
219,A,Ship,3,4,148,3,low,M,37,1523,1
220,B,Ship,3,5,270,3,low,M,60,3885,1
221,C,Ship,3,4,242,3,low,M,29,2381,1
222,F,Ship,4,3,150,2,medium,M,31,1588,1
223,D,Ship,4,2,192,3,high,M,4,2061,1
224,F,Ship,4,5,116,3,medium,F,9,1314,1
225,A,Ship,3,4,192,3,medium,F,31,3331,1
226,B,Ship,5,4,255,4,medium,F,38,2771,1
227,C,Ship,4,3,161,7,medium,M,63,1496,1
228,F,Ship,4,2,157,3,low,F,48,1393,1
229,D,Ship,3,2,164,10,high,M,14,1375,1
230,F,Ship,3,3,162,7,medium,F,42,1278,1
231,A,Ship,3,1,146,2,low,F,54,1528,1
232,B,Ship,3,4,209,3,medium,F,60,2240,1
233,C,Ship,5,5,134,2,medium,M,53,1088,1
234,F,Ship,2,1,222,2,medium,M,58,3626,1
235,D,Ship,2,1,139,3,low,F,39,1582,1
236,F,Ship,2,2,134,3,low,M,38,1352,1
237,A,Ship,2,3,130,3,low,F,48,1801,1
238,B,Ship,2,2,133,3,low,M,5,1268,1
239,C,Ship,2,3,140,3,low,F,23,1372,1
240,F,Ship,2,3,158,3,low,M,10,1515,1
241,D,Ship,4,5,270,4,low,M,65,1818,1
242,F,Ship,2,4,140,3,low,F,33,1278,1
243,A,Ship,2,2,135,3,low,M,58,1734,1
244,B,Ship,2,4,136,3,low,M,43,1958,1
245,C,Ship,2,1,142,3,medium,F,8,6064,1
246,F,Ship,2,4,154,3,medium,F,48,7684,1
247,D,Ship,2,3,139,3,low,F,3,1788,1
248,F,Road,2,4,160,3,low,F,50,1030,1
249,A,Road,2,2,134,3,low,F,38,1530,1
250,B,Road,5,5,161,5,high,F,54,1511,1
251,C,Road,2,3,155,3,low,F,45,1639,1
252,F,Road,2,2,145,3,medium,F,5,6102,1
253,D,Road,2,1,157,3,low,M,58,1930,1
254,F,Road,2,5,160,3,low,F,19,1399,1
255,A,Road,2,2,152,3,low,F,61,1800,1
256,B,Road,2,2,148,3,high,F,35,1349,1
257,C,Road,2,2,127,3,low,M,13,1128,1
258,F,Road,2,2,129,3,medium,F,22,6614,1
259,D,Road,2,3,158,3,low,F,13,1245,1
260,F,Road,2,4,147,3,low,M,5,1920,1
261,A,Road,2,5,159,3,low,F,49,1621,1
262,B,Road,2,3,151,3,low,F,23,1930,1
263,C,Road,3,1,294,4,low,F,52,1089,1
264,F,Road,3,2,226,2,medium,M,45,1446,1
265,D,Road,5,3,271,5,high,M,9,1813,1
266,F,Road,7,2,203,5,medium,F,61,1856,1
267,A,Road,2,3,264,4,low,F,10,1648,1
268,B,Road,4,1,258,3,medium,M,36,2211,1
269,C,Road,3,5,241,3,low,F,21,3078,1
270,F,Flight,4,5,208,3,medium,M,23,2056,1
271,D,Flight,3,2,209,5,medium,F,12,3054,1
272,F,Flight,5,1,182,2,medium,F,23,2707,1
273,A,Flight,4,5,148,2,medium,F,43,1087,1
274,B,Flight,2,3,183,2,medium,F,52,3199,1
275,C,Flight,3,5,229,6,medium,M,22,2717,1
276,F,Flight,5,5,115,5,low,F,26,1692,1
277,D,Flight,4,2,136,3,low,F,65,1962,1
278,F,Flight,4,4,212,3,low,M,21,3307,1
279,A,Flight,4,3,171,3,low,F,24,1304,1
280,B,Flight,3,1,151,2,low,M,60,1925,1
281,C,Flight,3,1,205,3,medium,M,39,3062,1
282,F,Flight,5,4,147,3,medium,M,23,1132,1
283,D,Flight,3,3,155,3,low,F,29,1712,1
284,F,Flight,5,4,165,3,low,F,20,1150,1
285,A,Flight,5,5,230,3,low,F,32,3249,1
286,B,Flight,2,4,181,4,medium,M,13,2309,1
287,C,Flight,5,3,234,2,low,F,55,3308,1
288,F,Flight,4,4,149,3,low,M,34,1977,1
289,D,Flight,5,5,156,2,low,M,44,1561,1
290,F,Flight,4,2,172,3,medium,F,59,1858,1
291,A,Flight,4,4,270,3,low,M,12,3279,1
292,B,Ship,4,1,206,3,medium,M,23,3807,1
293,C,Ship,4,3,211,4,medium,M,40,3106,1
294,F,Ship,3,2,136,4,low,M,62,1090,1
295,D,Ship,5,1,186,2,high,F,52,3981,1
296,F,Ship,3,1,202,2,medium,M,62,3398,1
297,A,Ship,4,2,183,3,medium,F,12,3646,1
298,B,Ship,4,4,232,2,low,M,36,2861,1
299,C,Ship,4,2,147,4,medium,M,52,1129,1
300,F,Ship,4,3,136,3,medium,M,20,1531,1
301,D,Ship,5,3,127,3,low,F,43,1446,1
302,F,Ship,4,5,202,2,medium,M,35,3695,1
303,A,Ship,3,4,241,2,low,M,57,3671,1
304,B,Ship,4,3,222,2,medium,M,55,3833,1
305,C,Ship,3,2,183,4,medium,F,12,2777,1
306,F,Ship,4,4,249,3,medium,F,36,3769,1
307,D,Ship,3,1,243,4,high,M,59,3838,1
308,F,Ship,3,3,163,3,medium,M,9,1257,1
309,A,Ship,4,2,165,2,high,M,11,1596,1
310,B,Ship,5,5,266,3,medium,F,53,3089,1
311,C,Ship,3,4,193,2,medium,M,48,3909,1
312,F,Ship,3,2,154,3,low,F,56,1136,1
313,D,Ship,3,3,140,3,medium,M,51,1046,1
314,F,Ship,4,3,272,3,medium,M,38,3705,1
315,A,Ship,4,2,143,6,medium,M,20,1654,1
316,B,Ship,4,2,138,3,low,F,30,1805,1
317,C,Ship,4,2,238,2,high,M,17,3358,1
318,F,Ship,4,5,273,4,medium,F,31,2373,1
319,D,Ship,3,1,200,2,medium,M,27,2551,1
320,F,Ship,4,5,213,4,low,M,39,2381,1
321,A,Ship,3,4,224,2,medium,F,15,2701,1
322,B,Ship,4,5,141,3,medium,M,12,1672,1
323,C,Ship,3,3,150,3,low,M,46,1040,1
324,F,Ship,3,1,192,2,low,M,33,2818,1
325,D,Ship,5,1,279,4,medium,F,24,3440,1
326,F,Ship,3,4,246,3,medium,M,30,3748,1
327,A,Ship,3,4,173,3,medium,M,52,1587,1
328,B,Ship,4,4,233,4,medium,F,59,2358,1
329,C,Ship,5,1,274,2,medium,M,24,2423,1
330,F,Ship,4,5,243,4,medium,F,41,2782,1
331,D,Ship,3,4,197,3,medium,F,56,3427,1
332,F,Ship,4,3,140,3,high,F,46,1072,1
333,A,Ship,3,5,215,3,medium,F,22,2585,1
334,B,Ship,3,4,211,3,medium,M,8,3710,1
335,C,Ship,4,2,220,5,low,M,33,2854,1
336,F,Ship,3,1,194,4,low,M,64,2026,1
337,D,Ship,5,1,262,3,medium,F,58,3599,1
338,F,Ship,4,4,201,2,low,F,1,3147,1
339,A,Ship,3,5,261,3,medium,M,15,2989,1
340,B,Ship,4,4,191,6,low,F,60,3425,1
341,C,Ship,2,5,255,5,medium,F,53,3775,1
342,F,Ship,3,2,169,2,high,M,30,1698,1
343,D,Ship,4,5,162,2,medium,M,64,1918,1
344,F,Ship,2,5,248,6,low,F,62,2750,1
345,A,Ship,5,3,197,4,low,F,2,2222,1
346,B,Ship,5,1,264,3,low,M,6,2882,1
347,C,Ship,5,5,260,2,medium,F,55,2791,1
348,F,Ship,5,3,186,2,medium,F,58,2259,1
349,D,Ship,4,5,233,4,low,F,44,2551,1
350,F,Ship,5,1,161,3,low,M,47,1954,1
351,A,Ship,4,5,188,3,low,F,13,2409,1
352,B,Ship,5,5,171,2,medium,F,22,1695,1
353,C,Ship,2,2,267,3,medium,M,15,2481,1
354,F,Ship,4,3,255,2,high,M,47,2956,1
355,D,Ship,3,2,132,3,low,F,56,1303,1
356,F,Ship,5,1,266,3,low,F,31,3157,1
357,A,Ship,3,4,198,2,low,M,25,2774,1
358,B,Ship,2,3,247,2,medium,F,62,3127,1
359,C,Ship,3,1,140,3,medium,F,65,1291,1
360,F,Ship,4,3,131,5,low,M,6,1659,1
361,D,Ship,5,2,246,3,medium,M,49,3236,1
362,F,Ship,3,2,159,3,medium,F,4,1681,1
363,A,Ship,3,5,203,2,medium,M,61,3642,1
364,B,Ship,4,3,187,4,high,F,29,3141,1
365,C,Ship,6,2,146,3,low,F,62,1936,1
366,F,Ship,3,2,234,3,medium,M,39,2099,1
367,D,Ship,3,4,122,3,high,F,15,1354,1
368,F,Ship,3,3,135,3,low,M,8,1074,1
369,A,Ship,3,5,103,3,low,M,3,1403,1
370,B,Ship,3,5,257,3,medium,F,19,2173,1
371,C,Ship,4,3,169,2,low,M,2,1399,1
372,F,Ship,4,5,159,3,medium,M,18,1808,1
373,D,Ship,4,5,188,3,low,M,38,3031,1
374,F,Ship,5,1,136,3,medium,M,19,1420,1
375,A,Ship,5,1,227,3,low,F,19,3007,1
376,B,Ship,3,5,262,2,low,F,53,3275,1
377,C,Ship,2,3,157,2,low,M,45,1965,1
378,F,Ship,5,3,238,2,medium,F,21,2053,1
379,D,Ship,3,5,152,3,low,M,43,1282,1
380,F,Ship,3,2,201,3,medium,M,5,2040,1
381,A,Ship,3,4,148,2,low,M,54,1778,1
382,B,Ship,5,2,199,4,low,F,59,2885,1
383,C,Ship,5,4,215,2,low,F,45,3501,1
384,F,Ship,4,5,175,2,low,M,40,1270,1
385,D,Road,4,3,236,2,high,M,23,3123,1
386,F,Road,2,5,182,2,medium,F,57,2896,1
387,A,Road,3,1,251,3,medium,M,42,3698,1
388,B,Road,5,2,173,3,low,F,7,1855,1
389,C,Road,4,3,225,3,low,F,62,2587,1
390,F,Road,4,2,167,4,low,F,20,1705,1
391,D,Road,4,1,259,3,low,M,20,2154,1
392,F,Road,4,1,178,3,medium,F,63,1573,1
393,A,Road,4,4,178,4,medium,F,13,1614,1
394,B,Road,5,4,169,2,low,F,20,1765,1
395,C,Road,3,2,272,2,low,M,33,2321,1
396,F,Road,4,4,183,3,low,M,29,3251,1
397,D,Road,3,4,205,3,low,F,10,2728,1
398,F,Road,2,1,123,4,low,F,53,1036,1
399,A,Road,4,3,152,3,low,M,58,1453,1
400,B,Road,3,1,220,2,high,F,40,3773,1
401,C,Road,4,3,134,3,low,M,51,1965,1
402,F,Road,3,2,217,2,high,M,19,2992,1
403,D,Road,3,2,265,3,low,F,49,2791,1
404,F,Road,4,2,249,5,medium,M,36,3836,1
405,A,Road,5,3,213,4,medium,F,50,2003,1
406,B,Road,2,2,124,3,low,F,56,1494,1
407,C,Flight,4,1,180,2,low,M,23,1193,1
408,F,Flight,4,5,193,3,medium,M,65,2267,1
409,D,Flight,3,2,192,3,medium,M,43,3339,1
410,F,Flight,2,5,166,3,medium,M,3,1832,1
411,A,Flight,3,2,264,3,medium,M,5,3861,1
412,B,Flight,3,4,200,2,medium,M,14,3528,1
413,C,Flight,4,3,142,4,medium,M,12,1396,1
414,F,Flight,4,1,215,2,low,M,32,3066,1
415,D,Flight,2,1,218,2,low,M,15,2745,1
416,F,Flight,3,2,115,3,low,F,27,1814,1
417,A,Flight,4,3,159,3,low,M,33,1330,1
418,B,Flight,5,5,133,3,low,M,63,1218,1
419,C,Flight,5,2,178,3,low,M,48,1517,1
420,F,Flight,4,2,134,2,low,F,43,1714,1
421,D,Flight,3,1,184,5,medium,F,58,2544,1
422,F,Flight,4,2,251,2,medium,M,24,2405,1
423,A,Flight,3,2,141,3,low,M,7,1933,1
424,B,Flight,4,4,229,2,medium,M,45,3776,1
425,C,Flight,4,1,203,4,low,M,34,3813,1
426,F,Flight,4,3,158,3,medium,F,57,1911,1
427,D,Flight,3,4,167,3,medium,M,52,1755,1
428,F,Flight,5,4,197,4,low,F,40,3303,1
429,A,Ship,2,2,140,3,low,F,19,1806,1
430,B,Ship,5,1,205,2,medium,M,27,3569,1
431,C,Ship,5,5,208,3,low,F,45,2018,1
432,F,Ship,4,2,96,3,low,M,22,1294,1
433,D,Ship,6,4,205,3,low,F,44,2064,1
434,F,Ship,4,2,215,3,medium,F,48,2953,1
435,A,Ship,4,1,216,3,low,F,43,2643,1
436,B,Ship,3,1,112,2,high,M,22,1846,1
437,C,Ship,5,4,222,3,low,F,20,3632,1
438,F,Ship,5,2,186,3,medium,F,15,2153,1
439,D,Ship,3,5,241,3,medium,M,48,2841,1
440,F,Ship,3,3,172,3,low,F,58,1269,1
441,A,Ship,3,5,251,2,high,M,23,2426,1
442,B,Ship,5,3,190,3,high,M,45,2628,1
443,C,Ship,4,3,186,2,medium,F,48,2805,1
444,F,Ship,4,4,207,2,medium,M,35,2596,1
445,D,Ship,3,3,135,3,low,F,19,1366,1
446,F,Ship,4,4,189,2,medium,F,18,2955,1
447,A,Ship,4,4,173,5,medium,F,51,1691,1
448,B,Ship,3,4,194,3,medium,M,3,2169,1
449,C,Ship,3,1,183,3,low,M,19,3018,1
450,F,Ship,4,3,140,2,low,F,22,1248,1
451,D,Ship,4,4,244,3,medium,F,55,2782,1
452,F,Ship,2,3,189,4,low,M,34,3355,1
453,A,Ship,3,2,157,2,medium,M,53,1390,1
454,B,Ship,4,1,275,10,medium,F,23,2726,1
455,C,Ship,4,5,133,3,low,F,53,1467,1
456,F,Ship,4,1,149,3,medium,M,54,1178,1
457,D,Ship,3,3,254,2,high,M,17,3153,1
458,F,Ship,3,4,145,8,low,F,15,1429,1
459,A,Ship,3,2,179,5,low,F,52,1991,1
460,B,Ship,5,2,168,3,low,M,26,1526,1
461,C,Ship,4,1,202,3,medium,F,18,3940,1
462,F,Ship,3,4,220,7,low,M,43,2620,1
463,D,Ship,3,4,244,8,low,M,1,2703,1
464,F,Ship,4,2,186,7,medium,F,40,3111,1
465,A,Ship,5,2,263,8,medium,M,24,3139,1
466,B,Ship,3,2,294,4,low,F,15,1318,1
467,C,Ship,3,5,226,2,medium,F,2,1043,1
468,F,Ship,4,4,173,5,medium,F,2,1175,1
469,D,Ship,3,5,194,3,medium,F,10,2277,1
470,F,Ship,3,5,183,3,low,F,2,3459,1
471,A,Ship,4,1,140,2,low,M,61,1770,1
472,B,Ship,4,3,244,3,medium,M,8,3318,1
473,C,Ship,2,2,189,4,low,M,9,3413,1
474,F,Ship,3,1,157,2,medium,F,39,1525,1
475,D,Ship,4,3,275,10,medium,M,10,2093,1
476,F,Ship,4,5,133,3,low,M,59,1092,1
477,A,Ship,4,2,149,3,medium,M,26,1863,1
478,B,Ship,3,4,254,2,high,F,41,3973,1
479,C,Ship,3,4,145,8,low,F,24,1594,1
480,F,Ship,3,5,179,5,low,M,56,1113,1
481,D,Ship,5,4,168,3,low,F,13,1317,1
482,F,Ship,4,5,202,3,medium,F,46,3181,1
483,A,Ship,3,3,220,7,low,M,25,2141,1
484,B,Ship,3,2,244,8,low,F,50,3562,1
485,C,Ship,4,3,186,7,medium,F,30,2062,1
486,F,Ship,5,5,263,8,medium,F,9,2236,1
487,D,Ship,3,1,294,4,low,F,25,1498,1
488,F,Ship,4,1,139,3,low,F,56,1811,1
489,A,Ship,7,5,192,3,low,M,46,1550,1
490,B,Ship,3,3,235,3,low,M,5,3065,1
491,C,Ship,2,1,176,3,low,F,15,1996,1
492,F,Ship,5,4,224,3,low,F,34,2627,1
493,D,Ship,3,4,128,3,medium,F,51,1524,1
494,F,Ship,5,4,226,5,low,M,47,2240,1
495,A,Ship,5,1,160,5,medium,F,16,1526,1
496,B,Ship,3,1,197,5,low,M,45,2224,1
497,C,Ship,4,2,216,3,low,F,12,2273,1
498,F,Ship,4,4,199,2,low,M,9,3075,1
499,D,Ship,5,5,271,2,low,M,27,3957,1
